name,center_x,center_y
AL_07_A,106.72274111729479,-6.132458042239377
AL_07_C,106.72275563597388,-6.136979122412832
AG_07_B,106.72711315203465,-6.087232759536137
AG_07_D,106.72712759943755,-6.091753836835468
AH_07_B,106.72714205776822,-6.09627491334456
AH_07_D,106.7271565270271,-6.100795989062838
AI_07_B,106.72717100721462,-6.1053170639897205
AI_07_D,106.72718549833125,-6.109838138124629
AJ_07_B,106.72720000037745,-6.1143592114669865
AJ_07_D,106.72721451335366,-6.118880284016212
AK_07_B,106.72722903726033,-6.123401355771728
AK_07_D,106.7272435720979,-6.127922426732958
AL_07_B,106.72725811786687,-6.132443496899322
AL_07_D,106.72727267456764,-6.136964566270242
AF_08_C,106.73161528885004,-6.082697217192395
AG_08_A,106.73162976303286,-6.087218284452512
AG_08_B,106.73164424817152,-6.091739350922795
AH_08_A,106.7316587442665,-6.096260416602667
AH_08_C,106.7316732513182,-6.10078148149155
AI_08_A,106.7316877693271,-6.105302545588866
AI_08_C,106.73170229829367,-6.109823608894032
AJ_08_A,106.73171683821833,-6.114344671406473
AJ_08_C,106.73173138910155,-6.118865733125611
AK_08_A,106.73174595094379,-6.123386794050863
AK_08_C,106.73176052374549,-6.127907854181656
AL_08_A,106.7317751075071,-6.1324289135174075
AL_08_C,106.73178970222911,-6.13694997205754
AF_08_D,106.73613185118565,-6.082682715206978
AG_08_C,106.73614636307524,-6.087203771609972
AG_08_D,106.7361608859492,-6.091724827222962
AH_08_B,106.736175419808,-6.096245882045366
AH_08_D,106.7361899646521,-6.100766936076607
AI_08_B,106.73620452048193,-6.105287989316105
AI_08_D,106.73621908729797,-6.109809041763279
AJ_08_B,106.73623366510066,-6.114330093417555
AJ_08_D,106.73624825389045,-6.118851144278355
AK_08_B,106.7362628536678,-6.123372194345092
AK_08_D,106.73627746443316,-6.127893243617196
AL_08_B,106.73629208618699,-6.132414292094084
AL_08_D,106.73630671892975,-6.136935339775177
AG_09_A,106.74066295213322,-6.0871892210089715
AG_09_B,106.74067751274204,-6.0917102657364195
AH_09_A,106.74069208436423,-6.096231309673106
AH_09_C,106.74070666700027,-6.100752352818455
AI_09_A,106.74072126065057,-6.1052733951718885
AI_09_C,106.74073586531561,-6.109794436732824
AJ_09_A,106.74075048099587,-6.1143154775006865
AJ_09_C,106.74076510769177,-6.118836517474894
AK_09_A,106.74077974540378,-6.123357556654868
AK_09_C,106.74079439413235,-6.127878595040032
AL_09_A,106.74080905387795,-6.132399632629803
AL_09_C,106.74082372464103,-6.136920669423608
